Date,State_Name,Vegetable_Name,Whole_Price,Retail_Price,Shopping_Mall_Price,units,Vegetable_Image
2024-05-21,MADHYA PRADESH,Brinjal,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjal-64.png
2024-05-21,MADHYA PRADESH,Brinjal (Big),30,35 - 38,36 - 50,1kg,https://vegetablemarketprice.com/resource/images/vegetables/brinjalbig-64.png
2024-05-21,MADHYA PRADESH,Elephant Yam,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/elephantyam-64.png
2024-05-21,MADHYA PRADESH,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,https://vegetablemarketprice.com/resource/images/vegetables/fenugreekleaves-64.png
2024-05-21,MADHYA PRADESH,French Beans,180,207 - 229,216 - 297,1kg,https://vegetablemarketprice.com/resource/images/vegetables/frenchbeans-64.png
2024-05-21,MADHYA PRADESH,Garlic,275,316 - 349,330 - 454,1kg,https://vegetablemarketprice.com/resource/images/vegetables/garlic-64.png
2024-05-21,MADHYA PRADESH,Ginger,132,152 - 168,158 - 218,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ginger-64.png
2024-05-21,MADHYA PRADESH,Onion Green,38,44 - 48,46 - 63,1kg,https://vegetablemarketprice.com/resource/images/vegetables/oniongreen-64.png
2024-05-21,MADHYA PRADESH,Green Peas,40,46 - 51,48 - 66,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenpeas-64.png
2024-05-21,MADHYA PRADESH,Ivy Gourd,26,30 - 33,31 - 43,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ivygourd-64.png
2024-05-21,MADHYA PRADESH,Lemon (Lime),99,114 - 126,119 - 163,1kg,https://vegetablemarketprice.com/resource/images/vegetables/lemon-64.png
2024-05-21,MADHYA PRADESH,Mango Raw,27,31 - 34,32 - 45,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mangoraw-64.png
2024-05-21,MADHYA PRADESH,Mint Leaves,5,6 - 6,6 - 8,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mintleaves-64.png
2024-05-21,MADHYA PRADESH,Mushroom,83,95 - 105,100 - 137,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mushroom-64.png
2024-05-21,MADHYA PRADESH,Mustard Leaves,12,14 - 15,14 - 20,1kg,https://vegetablemarketprice.com/resource/images/vegetables/mustardleaves-64.png
2024-05-21,MADHYA PRADESH,Ladies Finger,46,53 - 58,55 - 76,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ladiesfinger-64.png
2024-05-21,MADHYA PRADESH,Pumpkin,19,22 - 24,23 - 31,1kg,https://vegetablemarketprice.com/resource/images/vegetables/pumpkin-64.png
2024-05-21,MADHYA PRADESH,Radish,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/radish-64.png
2024-05-21,MADHYA PRADESH,Ridge Gourd,36,41 - 46,43 - 59,1kg,https://vegetablemarketprice.com/resource/images/vegetables/ridgegourd-64.png
2024-05-21,MADHYA PRADESH,Shallot (Pearl Onion),32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/shallot-64.png
2024-05-21,MADHYA PRADESH,Snake Gourd,32,37 - 41,38 - 53,1kg,https://vegetablemarketprice.com/resource/images/vegetables/snakegourd-64.png
2024-05-21,MADHYA PRADESH,Sorrel Leaves,17,20 - 22,20 - 28,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sorrelleaves-64.png
2024-05-21,MADHYA PRADESH,Spinach,12,14 - 15,14 - 20,1kg,https://vegetablemarketprice.com/resource/images/vegetables/spinach-64.png
2024-05-21,MADHYA PRADESH,Sweet Potato,39,45 - 50,47 - 64,1kg,https://vegetablemarketprice.com/resource/images/vegetables/sweetpotato-64.png
2024-05-22,MADHYA PRADESH,Onion Big,24,28 - 30,29 - 40,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionbig-64.png
2024-05-22,MADHYA PRADESH,Onion Small,35,40 - 44,42 - 58,1kg,https://vegetablemarketprice.com/resource/images/vegetables/onionsmall-64.png
2024-05-22,MADHYA PRADESH,Tomato,23,26 - 29,28 - 38,1kg,https://vegetablemarketprice.com/resource/images/vegetables/tomato-64.png
2024-05-22,MADHYA PRADESH,Green Chilli,60,69 - 76,72 - 99,1kg,https://vegetablemarketprice.com/resource/images/vegetables/greenchili-64.png
